Name,Altnames,Enrollment Code,H.No/Street,Village,Taluka,Town / City,District,State,Pin Code,Country
Agra College,,AGR,,,,,,Uttar Pradesh,,India
Arts College Shamlaji,"Arts College, Shamlaji",ACS,,,,,,Gujarat,,India
Baba Bhairabananda Mahavidyalaya,Baba Bhairabananda College,BBH,,,,,,Odisha,,India
Balugaon College,,BGC,,,,,,Odisha,,India
City Women's College,,CWC,,,,,,Odisha,,India
"Comrade Godavari Shamrao Parulekar College of Arts, Commerce & Science",,GPC,,,,,,Maharashtra,,India
Faculty of Arts,,FOA,,,,,,Rajasthan,,India
Gaya College,,GYC,,,,,,Bihar,,India
Govt. Mahakoshal Arts and Commerce College,Government Mahakosal Arts & Commerce College,MAC,,,,,,Madhya Pradesh,,India
Govt. Mahaprabhu Vallabhacharya Post Graduate College,Govt. M V PG College,MVP,,,,,,Chhattisgarh,,India
Govt. Rani Durgavati Post Graduate College,PG College Mandla,RDC,,,,,,Madhya Pradesh,,India
Jamshedpur Women's College,,JWC,,,,,,Jharkhand,,India
Kalyan Post Graduate College,,KPG,,,,,,Chhattisgarh,,India
Kamla Nehru College for Women,Kamla Nehru Womens College,KNW,,,,,,Rajasthan,,India
L. B. S. M. College,L.B.S.M. College,LBS,,,,,,Jharkhand,,India
Mahila College,,MCO,,,,,,Bihar,,India
Marwari College,,MWC,,,,,,Jharkhand,,India
"Matsyodari Shikshan Sanstha's Arts, Commerce & Science College","MSS's ACS College, Ambad",MMC,,,,,,Maharashtra,,India
"N.G. Acharya and D.K. Marathe College of Arts, Science and Commerce",,NDC,,,,,,Maharashtra,,India
Nirmala College,,NMC,,,,,,Jharkhand,,India
Ranchi College,,RNC,,,,,,Jharkhand,,India
Ranchi Women's College,,RWC,,,,,,Jharkhand,,India
Rani Durgawati Vishwavidyalaya,,RDV,,,,,,Madhya Pradesh,,India
Shiv Chhatrapati College,ShivChhatrapati College,SCC,,,,,,Maharashtra,,India
Shri & Smt. PK Kotawala Arts College,,PKK,,,,,,Gujarat,,India
Shri VR Patel College of Commerce,,VRP,,,,,,Gujarat,,India
Sree Narayana Guru College of Commerce,,NGC,,,,,,Maharashtra,,India
Sri Mahanth Shatanand Giri College,S. M. S. G. College,SMG,,,,,,Bihar,,India
St. John's College,,SJC,,,,,,Uttar Pradesh,,India
The Graduate School College For Women,The Graduate School College For Women's,GSC,,,,,,Jharkhand,,India
Vasant Rao Naik Mahavidyalaya,,VRN,,,,,,Maharashtra,,India
"Vivekanand Arts, Sardar Dalip Singh Commerce & Science College","VIVEKANAND ARTS ,SARDAR DALIP SINGH COMMERCE & SCIENCE COLLEGE",VAS,,,,,,Maharashtra,,India
